"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"15 Sept 2025 23:04:45 UTC","25490503992","Order","202-1509745-2975514","REV01055","Revell Advent Calendar 007 James Bond Aston Martin DB5 (easy-click) I 007 James Bond Advent Calendar I Aston Martin DB5 I Assemble in 24 Days I No Glu","1","amazon.co.uk","Seller","LOUGHBOROUGH","","LE12 6","MarketplaceFacilitator","15.82","3.17","17.12","3.42","0","0","0","0","-6.59","-7.18","0","-0.15","0","25.61"
"16 Sept 2025 21:57:30 UTC","25490503992","Order","206-2745253-6763566","TRU03719","Trumpeter 1:200 - Titanic W/LED Lights","1","amazon.co.uk","Seller","ARISAIG","Inverness Shire","PH39 4","","390.00","0","0","0","0","0","0","0","0","-70.79","0","-1.42","0","317.79"
"17 Sept 2025 14:00:23 UTC","25490503992","Order","205-3742697-4607523","TRU03702","Trumpeter 1:200 - German Battleship Bismarck 1940","1","amazon.co.uk","Seller","NEW MILTON","","BH25 5","","276.00","0","0","0","0","0","0","0","0","-50.09","0","-1.00","0","224.91"
"17 Sept 2025 20:53:53 UTC","25490503992","Order","026-8942206-2840367","REV06785","Revell 06785 Star Wars: The Book of Boba Fett - Boba Fett's StarshipTM 1:88 Scale Unbuilt/Unpainted Plastic Model Kit","1","amazon.co.uk","Seller","BROUGH","","CA17 4","MarketplaceFacilitator","27.50","5.50","0","0","0","0","0","0","-5.50","-5.99","0","-0.13","0","21.38"
"17 Sept 2025 23:12:37 UTC","25490503992","Order","204-8474270-4830729","FR67501-9","Franzis 67501 Ford Mustang V8 Engine 1:4 Scale Engine Kit with Sound Module, Instructions and 100 Page Accompaniment Book","1","amazon.co.uk","Seller","BIRMINGHAM","","B19 1","MarketplaceFacilitator","125.17","10.01","20.66","1.65","0","0","0","0","-11.66","-28.58","0","-0.57","0","116.68"
"17 Sept 2025 23:17:08 UTC","25490503992","Refund","204-8474270-4830729","FR67501-9","Franzis 67501 Ford Mustang V8 Engine 1:4 Scale Engine Kit with Sound Module, Instructions and 100 Page Accompaniment Book","1","amazon.co.uk","Seller","BIRMINGHAM","","B19 1","MarketplaceFacilitator","-125.17","-10.01","-20.66","-1.65","0","0","0","0","11.66","22.87","0","0.57","0","-122.39"
"18 Sept 2025 08:08:39 UTC","25490503992","Order","206-2489994-0621143","FR55111-5","Franzis 55111 Ford Mustang GT Advent Calendar Race Red, Model Kit in Scale 1:24, Includes Sound Module and 52-Page Accompaniment Book","1","amazon.co.uk","Seller","Dublin","Dublin","","","117.62","0","27.08","0","0","0","0","0","0","-26.26","0","-0.52","0","117.92"
"19 Sept 2025 22:11:50 UTC","25490503992","Order","205-9071480-6917126","CAR20030038","Carrera Digital 132 | Pole to Podium Race Track Set | Carrera Track and Licensed Slot Cars | Up to 6 Players | For Children from 8 Years & Adults","1","amazon.co.uk","Seller","Princes Risborough","","HP270","","279.20","0","0","0","0","0","0","0","0","-50.68","0","-1.02","0","227.50"
"19 Sept 2025 22:46:49 UTC","25490503992","Order","203-2151309-4396365","REV06785","Revell 06785 Star Wars: The Book of Boba Fett - Boba Fett's StarshipTM 1:88 Scale Unbuilt/Unpainted Plastic Model Kit","1","amazon.co.uk","Seller","ELLON","","AB41 9","MarketplaceFacilitator","27.50","5.50","0","0","0","0","0","0","-5.50","-5.98","0","-0.12","0","21.40"
"19 Sept 2025 23:55:01 UTC","25490503992","Order","204-4036866-4935526","REV05690","Revell Gift Set 05690 Harrier GR.1 50th Anniversary 1:32 Scale Unbuilt Plastic Model Kit with Contacta Professional Glue, Paintbrush & Selected Aqua C","1","amazon.co.uk","Seller","BURY","Lancs","BL9 6","MarketplaceFacilitator","32.42","6.48","0","0","0","0","0","0","-6.48","-7.07","0","-0.15","0","25.20"
"19 Sept 2025 23:58:22 UTC","25490503992","Order","206-8750585-9433929","TAM47508","TAMIYA 1:10 RC Porsche 956 Racing - Remote Controlled Car, Model Kit","1","amazon.co.uk","Seller","LEYLAND","","PR26 9","","228.00","0","0","0","0","0","0","0","0","-41.38","0","-0.82","0","185.80"
"20 Sept 2025 00:08:03 UTC","25490503992","Order","206-1880263-3863554","REV07717","Revell 07717 Jaguar E-Type 1:8 Scale Unbuilt/Unpainted Plastic Model Kit","1","amazon.co.uk","Seller","ELY","","CB6 1","MarketplaceFacilitator","98.42","19.68","0","0","0","0","0","0","-19.68","-21.44","0","-0.42","0","76.56"
"20 Sept 2025 17:17:54 UTC","25490503992","Order","026-0801571-5529152","TAM58737","TAMIYA 58737 1:10 RC Hotshot II (2024) 4WD - Remote Controlled Car, Vehicle, Model Building, Assembly, Hobby, RC Kit, Unpainted","1","amazon.co.uk","Seller","Huddersfield","West Yorkshire","HD8 8","","195.80","0","21.32","0","0","0","0","0","0","-39.42","0","-0.79","0","176.91"
"20 Sept 2025 18:14:02 UTC","25490503992","Refund","026-8777778-6295527","REV05715","Revell Gift Set 05715 R.M.S. Titanic 100th Anniversary 1:400 Scale Unbuilt Plastic Model Kit, Postcards, Brochure, Menu, Contacta Professional Glue, P","1","amazon.co.uk","Seller","BILSTON","","WV14 9","MarketplaceFacilitator","-39.95","-7.99","-16.83","-3.37","0","0","0","0","11.36","9.88","0","0.24","0","-46.66"
"20 Sept 2025 21:51:07 UTC","25490503992","Refund","204-9711059-0025151","AF06015","Airfix North American B-25C/D Mitchell - 1:72 Scale Model Kit","1","amazon.co.uk","Seller","WICK","","KW1 5","MarketplaceFacilitator","-41.27","-8.25","0","0","0","0","0","0","8.25","7.20","0","0.19","0","-33.88"
"20 Sept 2025 23:20:32 UTC","25490503992","Order","204-9711059-0025151","AF06015","Airfix North American B-25C/D Mitchell - 1:72 Scale Model Kit","1","amazon.co.uk","Seller","WICK","","KW1 5","MarketplaceFacilitator","41.27","8.25","0","0","0","0","0","0","-8.25","-9.00","0","-0.19","0","32.08"
"22 Sept 2025 16:18:06 UTC","25572341482","Order","203-9812031-9713109","CAR20062548","Carrera Go!!! Max Performance | Formula 1 Race Track Set | Max Verstappen vs Louis Hamilton | 2 Slot Cars Including 2 Hand Regulators with Turbo Butto","1","amazon.co.uk","Seller","READING","","RG8 7","MarketplaceFacilitator","63.67","12.73","0","0","0","0","0","0","-12.73","-13.86","0","-0.27","0","49.54"
"22 Sept 2025 19:37:04 UTC","25572341482","Order","203-5064592-3968349","REV01055","Revell Advent Calendar 007 James Bond Aston Martin DB5 (easy-click) I 007 James Bond Advent Calendar I Aston Martin DB5 I Assemble in 24 Days I No Glu","1","amazon.co.uk","Seller","YORK","","YO24 1","MarketplaceFacilitator","46.92","9.38","0","0","0","0","0","0","-9.38","-10.22","0","-0.20","0","36.50"
"22 Sept 2025 21:05:21 UTC","25572341482","Order","206-4677795-5614723","TAM47508","TAMIYA 1:10 RC Porsche 956 Racing - Remote Controlled Car, Model Kit","1","amazon.co.uk","Seller","WOKING","SURREY","GU22 7","","228.00","0","0","0","0","0","0","0","0","-41.39","0","-0.83","0","185.78"
"22 Sept 2025 23:03:42 UTC","25572341482","Order","202-2352339-6455554","REV01055","Revell Advent Calendar 007 James Bond Aston Martin DB5 (easy-click) I 007 James Bond Advent Calendar I Aston Martin DB5 I Assemble in 24 Days I No Glu","1","amazon.co.uk","Seller","PETERSFIELD","","GU31 5","MarketplaceFacilitator","46.92","9.38","0","0","0","0","0","0","-9.38","-10.23","0","-0.21","0","36.48"
"23 Sept 2025 16:00:45 UTC","25572341482","Order","206-1500355-9842724","CAR20063520","Carrera GO!!! Sonic The Hedgehog Battery Operated Slot Car Racing Track Set, 4.3 m Race Track with 2 Cars, Includes Hand Controller, Jumping Track and","1","amazon.co.uk","Seller","HARROW","","HA3 0","MarketplaceFacilitator","47.39","9.48","0","0","0","0","0","0","-9.48","-10.32","0","-0.20","0","36.87"
