"Einschließlich Transaktionen zu Amazon Marketplace, Versand durch Amazon und Amazon Webstore"
"Alle Beträge in Euro sofern nicht anders gekennzeichnet"
"Definitionen:"
"Eingezogene Umsatzsteuer: Einschließlich von Käufern eingezogene Umsatzsteuer für Produktverkäufe, Versand und Geschenkverpackung."
"Verkaufsgebühren: Beinhaltet variable Abschlussgebühren und Werbekostenerstattungen."
"Andere Transaktionsgebühren: Einschließlich Ausgleichsbuchungen für Versand und Versandgebühren."
"Andere: Enthält Beträge zu Transaktionen, die nicht auf eine Bestellung bezogen sind. Weitere Details finden Sie zu jeder Bestellung in den Spalten ""Typ"" und ""Beschreibung""."
"Datum/Uhrzeit","Abrechnungsnummer","Typ","Bestellnummer","SKU","Beschreibung","Menge","Marketplace","Versand","Ort der Bestellung","Bundesland","Postleitzahl","Steuererhebungsmodell","Umsätze","Produktumsatzsteuer","Gutschrift für Versandkosten","Steuer auf Versandgutschrift","Gutschrift für Geschenkverpackung","Steuer auf Geschenkverpackungsgutschriften","Rabatte aus Werbeaktionen","Steuer auf Aktionsrabatte","Einbehaltene Steuer auf Marketplace","Verkaufsgebühren","Gebühren zu Versand durch Amazon","Andere Transaktionsgebühren","Andere","Gesamt"
"04.08.2025 01:08:13 UTC","25224486452","Bestellung","302-9795338-9081115","WCFP0095028OR","Westinghouse PERFORMANCE SERIES Bratpfanne, Beschichtete Pfanne 28 cm Induktion, Für alle Herdarten, Non Stick Frying Pan mit Cool-Touch Edelstahl-Gr","1","amazon.de","Verkäufer","Baumholder","","55774","","39,45","7,50","0","0","0","0","0","0","0","-8,52","0","0","0","38,43"
"04.08.2025 15:23:24 UTC","25224486452","Bestellung","303-5941506-0974768","WCCC0095L32SG","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Waldems","","65529","","51,22","9,73","0","0","0","0","0","0","0","-11,06","-6,04","0","0","43,85"
"04.08.2025 16:17:38 UTC","25224486452","Bestellung","304-2368806-2081918","BLCCC01024WH","Be Living Essential Kochtopf mit Deckel - Ø 24 cm Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Weiß","1","amazon.de","Amazon","übach-palenberg","","52531","","29,37","5,58","0","0","0","0","0","0","0","-6,34","-5,76","0","0","22,85"
"04.08.2025 16:32:46 UTC","25224486452","Bestellung","304-0328280-8007545","BLCSET2001BK","Be Living Delight Pfannenset 2-teilig, Bratpfanne 24 & 28 cm, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Warburg","","34414","","29,37","5,58","0","0","0","0","0","0","0","-6,34","-6,33","0","0","22,28"
"04.08.2025 18:29:09 UTC","25224486452","Bestellung","306-5144566-1156334","BLCCC01024WH","Be Living Essential Kochtopf mit Deckel - Ø 24 cm Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Weiß","1","amazon.de","Amazon","St. Veit an der Gölsen","","3161","","29,37","0","0","0","0","0","0","0","0","-5,34","-5,76","0","0","18,27"
"04.08.2025 20:28:44 UTC","25224486452","Bestellung","304-7864149-2591562","WCCC0095L32BK","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Gmünd","","3950","","52,06","10,41","1,67","0,33","0","0","-1,67","-0,33","0","-11,25","-6,03","0","0","45,19"
"04.08.2025 22:15:35 UTC","25224486452","Bestellung","028-9247031-3677963","BLCSET2002BK","Be Living Delight Pfannenset 3-teilig, Bratpfanne 20/24/28 cm, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Herborn","","35745","","35,47","6,74","0","0","0","0","0","0","0","-7,66","-6,33","0","0","28,22"
"04.08.2025 23:43:52 UTC","25224486452","Bestellung","302-9466837-4567544","WCCC0009L28MBB","Westinghouse Schmorpfanne 28cm mit Glasdeckel, 3-lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium, Induktionsgeeignet, Griffe mit Silik","1","amazon.de","Amazon","Brandenburg An Der Havel","","14770","","41,97","7,98","0","0","0","0","0","0","0","-9,06","-5,97","0","0","34,92"
"05.08.2025 00:26:19 UTC","25224486452","Bestellung","303-3974432-1717116","BLCCC01028BK","Be Living Essential Kochtopf mit Decke 28 cm mit Deckel, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Frankfurt Am Main","Hessen","60322","","33,57","6,38","0","0","0","0","0","0","0","-7,25","-5,98","0","0","26,72"
"05.08.2025 02:24:14 UTC","25224486452","Bestellung","028-3230263-8637915","WCCC0095L32BK","Westinghouse PERFORMANCE SERIES Schmorpfanne mit Deckel, Große Bratpfanne 32 cm für Induktion & alle Herdarten, Beschichtete Pfanne mit Griff, Hoher","1","amazon.de","Amazon","Hasbergen","Niedersachsen","49205","","52,06","9,89","0","0","0","0","0","0","0","-11,24","-6,04","0","0","44,67"
"05.08.2025 08:32:21 UTC","25224486452","Servicegebühr","","","Werbekosten","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","-503,86","0","-503,86"
"05.08.2025 11:04:28 UTC","25224486452","Bestellung","304-2844124-5280332","BLCSET2001BK","Be Living Delight Pfannenset 2-teilig, Bratpfanne 24 & 28 cm, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","Maria Lanzendorf","Niederösterreich","2326","","24,82","4,96","0","0","0","0","0","0","0","-5,36","-6,33","0","0","18,09"
"05.08.2025 13:06:45 UTC","25224486452","Bestellung","302-2473449-1456355","WCBA0009001MBB","Westinghouse Black Marble Auflaufform/Bräter 25cm,3-lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium,Backofenfest,Handgerecht geformte","1","amazon.de","Amazon","Scharbeutz","Schleswig-Holstein","23683","","22,65","4,30","0","0","0","0","0","0","0","-4,89","-3,76","0","0","18,30"
"05.08.2025 13:36:16 UTC","25224486452","Bestellung","306-5575574-9561118","WKBE221PK","Westinghouse Retro Standmixer, 1.5 Liter Glasbehälter, 3 Geschwindigkeiten, Pulsfunktion, 6 flügliges Spezialmesser, Edelstahl, Rutschfeste Füße,","1","amazon.de","Verkäufer","Schönau a. Königssee","Bayern","83471","","80,63","15,32","0","0","0","0","0","0","0","-17,41","0","0","0","78,54"
"05.08.2025 14:34:35 UTC","25224486452","Bestellung","305-3217020-1833920","BLCCC01024GR","Be Living Essential Kochtopf mit Deckel - Ø 24 cm, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Grau","1","amazon.de","Amazon","Ritzing","","7323","","29,37","5,87","0","0","0","0","0","0","0","-6,34","-5,98","0","0","22,92"
"05.08.2025 17:35:53 UTC","25224486452","Bestellung","305-3851102-9881120","BLCCC01028GR","Be Living Essential Kochtopf mit Deckel, Ø 28 cm, Bratpfanne, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Grau","1","amazon.de","Amazon","Linz","OÖ.","4040","","33,57","6,71","0","0","0","0","0","0","0","-7,25","-5,98","0","0","27,05"
"05.08.2025 19:34:08 UTC","25224486452","Bestellung","303-2713316-8357943","BLCCC01028WH","Be Living Essential Kochtopf mit Deckel - Ø 28 cm, Geeignet für alle Herdarten, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Weiß","1","amazon.de","Amazon","Ostrava-Poruba","","","","33,57","7,05","3,50","0,73","0","0","-3,50","-0,73","0","-7,25","-5,97","0","0","27,40"
"05.08.2025 20:23:45 UTC","25224486452","Erstattung","302-5191509-6157928","BLCWK02028BK","Be Living Delight Wokpfanne 28 cm mit Deckel, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Schwarz","1","amazon.de","Amazon","St. Radegund bei Graz","","8061","","-35,25","-7,05","-0,67","-0,13","0","0","0,67","0,13","0","6,09","0","0","0","-36,21"
"05.08.2025 20:38:21 UTC","25224486452","Bestellung","306-3612973-4656353","WCFP0009028MBB","Westinghouse Black Marble Bratpfanne 28cm, 3-lagige Marmor-Antihaftbeschichtung, aus geschmiedetem Aluminium, Induktionsgeeigneter Pfannenboden, Silik","1","amazon.de","Amazon","Berlin","","10179","","31,89","6,06","0","0","0","0","0","0","0","-6,88","-6,33","0","0","24,74"
"05.08.2025 20:39:24 UTC","25224486452","Bestellung","302-9058549-1312342","BLCWK01030WH","Be Living Essential Wokpfanne mit Deckel Ø 30 cm, Non Stick Keramik Antihaft, Induktion, Geeignet für alle Herdarten, Ohne ptfe und pfoa, Weiß","1","amazon.de","Verkäufer","Berlin","","10585","","54,58","10,37","0","0","0","0","0","0","0","-11,79","0","0","0","53,16"
"05.08.2025 20:48:40 UTC","25224486452","Bestellung","304-8133166-4741119","BLCCC01028WH","Be Living Essential Kochtopf mit Deckel - Ø 28 cm, Geeignet für alle Herdarten, Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Weiß","1","amazon.de","Amazon","Schluchsee","","79859","","33,57","6,38","0","0","0","0","0","0","0","-7,25","-5,98","0","0","26,72"
"05.08.2025 20:48:40 UTC","25224486452","Bestellung","304-8133166-4741119","BLCCC01024WH","Be Living Essential Kochtopf mit Deckel - Ø 24 cm Non Stick Keramik Antihaft, Induktion, Ohne ptfe und pfoa, Weiß","1","amazon.de","Amazon","Schluchsee","","79859","","29,37","5,58","0","0","0","0","0","0","0","-6,34","-5,76","0","0","22,85"
