"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"11 Sept 2025 22:28:07 UTC","25490868382","Order","202-1940422-7515508","WKWKH148URD","Westinghouse Retro Kettle - 1.7 Liter Electric Kettle - Fast Boil - Water Boiler For Hot Drinks - Quiet Boil & Detachable Filter - 2200W Red Kettle","1","amazon.co.uk","Amazon","LONDON","","E16 2","MarketplaceFacilitator","46.62","9.33","1.66","0.33","0","0","-1.66","-0.33","-9.33","-10.15","-5.54","-0.31","0","30.62"
"12 Sept 2025 14:44:40 UTC","25490868382","Refund","026-1175602-6324324","WKTTB857UWH","Westinghouse Retro 2-Slice Toaster - Six Adjustable Browning Levels - with Self Centering Function & Crumb Tray - Including Warm Rack for Bread, Bagel","1","amazon.co.uk","Amazon","BATHFORD","","BA1 7","MarketplaceFacilitator","-46.62","-9.33","0","0","0","0","0","0","9.33","8.13","0","0.21","0","-38.28"
"12 Sept 2025 14:57:02 UTC","25490868382","Adjustment","204-9727402-2355542","WKWKH148UBK","FBA Inventory Reimbursement - Customer Return","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","30.93","30.93"
"12 Sept 2025 15:56:29 UTC","25490868382","Order","205-0380552-2820348","WKHBS270URD","Westinghouse Retro Hand Blender - 600W Handheld Stick Blender for Kitchen - Stainless Steel Electric Soup Blender - Food Mixer with Various Speeds and","1","amazon.co.uk","Amazon","LEAMINGTON SPA","","CV32 6","MarketplaceFacilitator","28.29","5.66","0","0","0","0","0","0","-5.66","-6.16","-3.95","-0.22","0","17.96"
"12 Sept 2025 21:00:09 UTC","25490868382","Order","204-5245284-3913901","WKHBS270UBK","Westinghouse Retro Hand Blender - 600W Handheld Stick Blender for Kitchen - Stainless Steel Electric Soup Blender - Food Mixer with Various Speeds and","1","amazon.co.uk","Amazon","LONDON","","N12 0","MarketplaceFacilitator","28.29","5.66","0","0","0","0","0","0","-5.66","-6.16","-3.95","-0.21","0","17.97"
"12 Sept 2025 21:05:49 UTC","25490868382","Refund","205-2091075-6481958","WKTTB857UWH","Westinghouse Retro 2-Slice Toaster - Six Adjustable Browning Levels - with Self Centering Function & Crumb Tray - Including Warm Rack for Bread, Bagel","1","amazon.co.uk","Amazon","LANCHESTER","","DH7 0","MarketplaceFacilitator","-46.62","-9.33","0","0","0","0","0","0","9.33","8.12","0","0.20","0","-38.30"
"12 Sept 2025 21:08:18 UTC","25490868382","Order","205-2091075-6481958","WKTTB857UWH","Westinghouse Retro 2-Slice Toaster - Six Adjustable Browning Levels - with Self Centering Function & Crumb Tray - Including Warm Rack for Bread, Bagel","1","amazon.co.uk","Amazon","LANCHESTER","","DH7 0","MarketplaceFacilitator","46.62","9.33","0","0","0","0","0","0","-9.33","-10.15","-6.27","-0.32","0","29.88"
"12 Sept 2025 23:46:26 UTC","25490868382","Order","205-4542804-8689144","WKHBS270URD","Westinghouse Retro Hand Blender - 600W Handheld Stick Blender for Kitchen - Stainless Steel Electric Soup Blender - Food Mixer with Various Speeds and","1","amazon.co.uk","Amazon","Doncaster","South Yorkshire","DN11 9","MarketplaceFacilitator","28.29","5.66","0","0","0","0","0","0","-5.66","-6.16","-3.94","-0.20","0","17.99"
"13 Sept 2025 05:04:38 UTC","25490868382","Adjustment","","WKWKH148UBK","FBA Inventory Reimbursement - General Adjustment","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-30.93","-30.93"
"13 Sept 2025 18:15:19 UTC","25490868382","Order","203-6741725-3175506","WKHBS270UWH","Westinghouse Retro Hand Blender - 600W Handheld Stick Blender for Kitchen - Stainless Steel Electric Soup Blender - Food Mixer with Various Speeds and","1","amazon.co.uk","Amazon","kirkby lonsdale","cumbria","LA62","MarketplaceFacilitator","28.29","5.66","1.87","0.38","0","0","-1.87","-0.38","-5.66","-6.15","-3.95","-0.21","0","17.98"
