"Inclut les transactions Amazon Marketplace, Expédié par Amazon et Amazon Webstore"
"Tous les montants sont en EUR, sauf mention contraire."
"Définitions :"
"Taxes collectées sur les ventes : inclut les taxes collectées auprès des acheteurs sur la vente de produits, la livraison et l'emballage."
"Frais de vente : Incluent des frais de clôture variable et des frais de référence."
"Autres frais de transaction : incluent les contestations de prélèvement, les retenues sur expédition"
"Autre : inclut les montants non-liés aux commandes. Pour de plus amples renseignements, consultez les colonnes ""Type"" et ""Description"" pour chaque commande."
"date/heure","numéro de versement","type","numéro de la commande","sku","description","quantité","Marketplace","traitement","ville d'où provient la commande","Région d'où provient la commande","code postal de la commande","Modèle de perception des taxes","ventes de produits","Taxes sur la vente des produits","crédits d'expédition","taxe sur les crédits d’expédition","crédits sur l'emballage cadeau","Taxes sur les crédits cadeaux","Rabais promotionnels","Taxes sur les remises promotionnelles","Taxes retenues sur le site de vente","frais de vente","Frais Expédié par Amazon","autres frais de transaction","autre","total"
"9 août 2025 03:55:45 UTC","25224279152","Ajustement","407-4729727-0325104","COOL017M","Remboursement Stock Expédié par Amazon - Retour Client","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","7,58","7,58"
"9 août 2025 23:18:00 UTC","25224279152","Commande","407-6905623-5456358","EATS005","Eat Slow Live Longer Gamelle Anti-Glouton L/XL Ø30 cm pour Chien - Slowfeeder Antidérapant - Idéal pour Grands Chiens - Gris","1","amazon.fr","Amazon","Espelette","","64250","","17,46","3,49","0","0","0","0","0","0","0","-3,80","0","-0,07","0","17,08"
"10 août 2025 22:58:23 UTC","25224279152","Commande","407-0799839-0032312","MOSE0608","WAHL Peigne pour Cheval Adore/Adelar","2","amazon.fr","Amazon","Epaney","France normandie","14170","","16,58","3,32","0","0","0","0","0","0","0","-1,94","-6,75","-0,17","0","11,04"
"11 août 2025 00:27:39 UTC","25224279152","Commingling VAT","20285662402","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11 août 2025 08:51:13 UTC","25224279152","Commingling VAT","20285765752","B001IWOOGK","KERBL Seau en Acier Inoxydable pour Élevage/Agriculture Urbaine 8,5 L, argent","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"11 août 2025 18:22:46 UTC","25314042292","Remboursement","405-5566395-4656355","MAST0005","Kerbl KerbaTEST 15141 Test de lait 5 l","1","amazon.fr","Vendeur","Javerlhac Chapelle Robert","","24300","","-37,46","-7,49","0","0","0","0","0","0","0","6,53","0","0,16","0","-38,26"
"11 août 2025 20:51:41 UTC","25314042292","Commande","404-4593441-7553129","JOLL037F","Jolly Pets Grand Ballon de Football Flottant rebondissant pour Chien, 20 cm de diamètre, Bleu océan","2","amazon.fr","Vendeur","egliseneuve d entraigues","","63850","","73,32","14,66","0","0","0","0","0","0","0","-15,97","0","-0,31","0","71,70"
"12 août 2025 07:22:01 UTC","25314042292","Transfert","","","Sur le compte se terminant par : 319","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-1 116,07","-1 116,07"
"12 août 2025 20:46:07 UTC","25314042292","Commande","402-1526419-8277905","HOOI018M06","Hay Slowfeeder Fun&Flex Ø 22 cm - Filet a Foin Chevaux - Slowfeeder Chevaux - Convient pour Les Animaux au pâturage - Contre la détérioration des","1","amazon.fr","Amazon","La Voulte sur Rhône","","07800","","21,92","4,38","0","0","0","0","0","0","0","-4,78","-8,28","-0,26","0","12,98"
"12 août 2025 21:35:16 UTC","25314042292","Commande","402-7623744-2131524","JOLL037B","Jolly Pets Ballon de foot de 20,3 cm","1","amazon.fr","Amazon","Grand Bourgtheroulde","","27520","","25,47","5,09","0","0","0","0","0","0","0","-5,55","-11,64","-0,34","0","13,03"
